_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha,pronostico
5cccf5bee2705c19328205a5,19.77169444,-98.57769444,84,Estacion de Bomberos de Cd. Sahagon,TEP,53,5cccf5bee2705c19328205a5,19.77169444,-98.57769444,84,Estacion de Bomberos de Cd. Sahagon,TEP,53,5ccced39e2705c19327c3d01,2018-01-30T00:00:00.000Z,1,Tepeapulco,Hidalgo,0.229,CO,84,84CO18013000,0,1/30/18,0.750123924
5cccf5bee2705c19328205a6,20.37511111,-99.65444444,85,Hospital,HUI,54,5cccf5bee2705c19328205a6,20.37511111,-99.65444444,85,Hospital,HUI,54,5ccced41e2705c19327d00d0,2018-01-30T00:00:00.000Z,1,Huichapan,Hidalgo,0.4112125,CO,85,85CO18013000,0,1/30/18,0.631327049
5cccf5bee2705c19328205a7,20.50555556,-99.58027778,87,Primaria Melchor Ocampo,TPJ,56,5cccf5bee2705c19328205a7,20.50555556,-99.58027778,87,Primaria Melchor Ocampo,TPJ,56,5ccced49e2705c19327dda51,2018-01-30T00:00:00.000Z,1,Tepeji,Hidalgo,0.226309444,CO,87,87CO18013000,0,1/30/18,0.534674931
5cccf5bee2705c19328205a8,20.05377778,-99.34005556,90,Centro de Salud,CSA,58,5cccf5bee2705c19328205a8,20.05377778,-99.34005556,90,Centro de Salud,CSA,58,5ccced51e2705c19327eb3d0,2018-01-30T00:00:00.000Z,1,Tula,Hidalgo,0.225976111,CO,90,90CO18013000,0,1/30/18,0.273124514
5cccf5bee2705c19328205a9,20.12055556,-98.74,92,Jardin del Maestro,JDN,59,5cccf5bee2705c19328205a9,20.12055556,-98.74,92,Jardin del Maestro,JDN,59,5ccced58e2705c19327f67e5,2018-01-30T00:00:00.000Z,1,Pachuca,Hidalgo,0.523718472,CO,92,92CO18013000,0,1/30/18,0.346804132
5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5ccced5fe2705c1932803a4b,2018-01-30T00:00:00.000Z,1,Pachuca,Hidalgo,0.240175833,CO,93,93CO18013000,0,1/30/18,0.304044965
5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5ccced67e2705c1932811ab7,2018-01-30T00:00:00.000Z,1,Tizayuca,Hidalgo,0.229254006,CO,96,96CO18013000,0,1/30/18,0.304781106
5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccead2e2705c193235487e,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.50746,CO,103,103CO18013000,0,1/30/18,0.375152078
5cccf5bee2705c19328205af,20.57682389,-103.3265286,104,Las Pintas,PIN,63,5cccf5bee2705c19328205af,20.57682389,-103.3265286,104,Las Pintas,PIN,63,5cccead8e2705c193235ec96,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.16395,CO,104,104CO18013000,0,1/30/18,0.28520996
5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5ccceae2e2705c1932370766,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.17411,CO,106,106CO18013000,0,1/30/18,0.268693501
5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5ccceae9e2705c193237d435,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.2791,CO,107,107CO18013000,0,1/30/18,0.281155
5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5ccceaeee2705c1932387d5a,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.4425,CO,108,108CO18013000,0,1/30/18,0.264915
5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5ccceaf5e2705c19323941f2,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.38821,CO,109,109CO18013000,0,1/30/18,0.32098
5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5ccceafbe2705c193239f235,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.22384,CO,110,110CO18013000,0,1/30/18,0.3334125
