_id_x,lat,long,id_x,nombre_x,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,estado,validoorig,valororig,pronostico
5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5ccced61e2705c1932807cd3,Pachuca,2018-01-30T00:00:00.000Z,93,1/30/18,0,93O318013000,O3,Hidalgo,1,0.052344208,1.40505
5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5ccced69e2705c1932815aa7,Tizayuca,2018-01-30T00:00:00.000Z,96,1/30/18,0,96O318013000,O3,Hidalgo,1,0.044227,1.43165
5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5ccceacde2705c193234ca73,Guadalajara,2018-01-30T00:00:00.000Z,102,1/30/18,0,102O318013000,O3,Jalisco,1,0.027532,1.4674
5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccead4e2705c193235825c,Guadalajara,2018-01-30T00:00:00.000Z,103,1/30/18,0,103O318013000,O3,Jalisco,1,0.022055,1.518275
5cccf5bee2705c19328205af,20.57682389,-103.3265286,104,Las Pintas,PIN,63,5ccceadae2705c1932362b4e,Guadalajara,2018-01-30T00:00:00.000Z,104,1/30/18,0,104O318013000,O3,Jalisco,1,0.015826,1.690375
5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5ccceae4e2705c193237448b,Guadalajara,2018-01-30T00:00:00.000Z,106,1/30/18,0,106O318013000,O3,Jalisco,1,0.015754,1.7089
5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5ccceaebe2705c1932380c66,Guadalajara,2018-01-30T00:00:00.000Z,107,1/30/18,0,107O318013000,O3,Jalisco,1,0.028854,1.6649
5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5ccceaf1e2705c193238b74c,Guadalajara,2018-01-30T00:00:00.000Z,108,1/30/18,0,108O318013000,O3,Jalisco,1,0.016315,1.46917
5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5ccceaf6e2705c1932397740,Guadalajara,2018-01-30T00:00:00.000Z,109,1/30/18,0,109O318013000,O3,Jalisco,1,0.027182,1.1493
5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5ccceafce2705c19323a320f,Guadalajara,2018-01-30T00:00:00.000Z,110,1/30/18,0,110O318013000,O3,Jalisco,1,0.031018,0.955005
5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5ccceb02e2705c19323af6b5,Toluca,2018-01-30T00:00:00.000Z,123,1/30/18,0,123O318013000,O3,Mexico,1,0.032,0.81951
5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5ccceb08e2705c19323baf1a,Toluca,2018-01-30T00:00:00.000Z,124,1/30/18,0,124O318013000,O3,Mexico,1,0.033,0.779975
5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5ccceb0fe2705c19323c989d,Toluca,2018-01-30T00:00:00.000Z,125,1/30/18,0,125O318013000,O3,Mexico,1,0.046,0.752865
5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5ccceb16e2705c19323d8500,Toluca,2018-01-30T00:00:00.000Z,126,1/30/18,0,126O318013000,O3,Mexico,1,0.042,0.758755
5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5ccceb24e2705c19323f267c,Toluca,2018-01-30T00:00:00.000Z,128,1/30/18,0,128O318013000,O3,Mexico,1,0.034,0.75614
5cccf5bee2705c19328205c1,19.69046111,-101.2047889,129,Universidad Michoacana de San Nicolas Hidalgo,ECU,66,5ccceb29e2705c19323fd0d3,Morelia,2018-01-30T00:00:00.000Z,129,1/30/18,0,129O318013000,O3,Michoacan,1,0.0363,0.7782825
5cccf5bee2705c19328205c2,19.69197778,-101.1554722,131,Laboratorio de Salud,LAB,66,5ccceb2ce2705c1932403d06,Morelia,2018-01-30T00:00:00.000Z,131,1/30/18,0,131O318013000,O3,Michoacan,1,0.033,1.0832875
5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5ccceb30e2705c193240a3f5,Cuernavaca,2018-01-30T00:00:00.000Z,134,1/30/18,0,134O318013000,O3,Morelos,1,0.06648053,1.5667425
5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5ccceb4be2705c193243b132,Monterrey,2018-01-30T00:00:00.000Z,140,1/30/18,0,140O318013000,O3,Nuevo Leon,1,0.003,1.9390025
5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5ccceb51e2705c19324456a2,Monterrey,2018-01-30T00:00:00.000Z,141,1/30/18,0,141O318013000,O3,Nuevo Leon,1,0.042,2.241625
5cccf5bee2705c19328205cc,25.74527778,-100.255,142,San Nicolas,NE,72,5ccceb56e2705c193244f35c,Monterrey,2018-01-30T00:00:00.000Z,142,1/30/18,0,142O318013000,O3,Nuevo Leon,1,0.016,2.19145
5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5ccceb78e2705c193248c2c4,Oaxaca,2018-01-30T00:00:00.000Z,160,1/30/18,0,160O318013000,O3,Oaxaca,1,0.0348,1.819325
5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5ccceb87e2705c19324a5645,Puebla,2018-01-30T00:00:00.000Z,163,1/30/18,0,163O318013000,O3,Puebla,1,0.023176686,1.480565
5cccf5bee2705c19328205dd,22.15125,-100.9961111,171,Industriales Potosinos Asociados,IPAC,79,5ccceb8fe2705c19324b5198,San Luis Potosi Estatal,2018-01-30T00:00:00.000Z,171,1/30/18,0,171O318013000,O3,San Luis Potosi,1,0.029998,1.1804925
5cccf5bee2705c19328205df,22.17422222,-100.9930833,174,Biblioteca,BIB,79,5ccceb99e2705c19324c7942,San Luis Potosi Estatal,2018-01-30T00:00:00.000Z,174,1/30/18,0,174O318013000,O3,San Luis Potosi,1,0.025148,0.9329575
5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5ccceba2e2705c19324d927f,Tlaxcala,2018-01-30T00:00:00.000Z,220,1/30/18,0,220O318013000,O3,Tlaxcala,1,0.0485,0.8094275
5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccebade2705c19324ed408,Xalapa,2018-01-30T00:00:00.000Z,235,1/30/18,0,235O318013000,O3,Veracruz,1,0.0333,0.7511
5cccf5bee2705c19328205ec,20.97327222,-89.62481111,236,SEDUMA01,CEN,116,5cccebb2e2705c19324f914b,Merida,2018-01-30T00:00:00.000Z,236,1/30/18,0,236O318013000,O3,Yucatan,1,0.043559425,0.8382975
