_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,estado,validoorig,valororig,pronostico
5cccf5bee2705c19328205a5,19.77169444,-98.57769444,84,Estacion de Bomberos de Cd. Sahagon,TEP,53,5cccf5bee2705c19328205a5,19.77169444,-98.57769444,84,Estacion de Bomberos de Cd. Sahagon,TEP,53,5ccced3ee2705c19327cbe82,Tepeapulco,2018-01-30T00:00:00.000Z,84,1/30/18,0,84SO218013000,SO2,Hidalgo,1,0.001,0.002103154
5cccf5bee2705c19328205a6,20.37511111,-99.65444444,85,Hospital,HUI,54,5cccf5bee2705c19328205a6,20.37511111,-99.65444444,85,Hospital,HUI,54,5ccced47e2705c19327d98c9,Huichapan,2018-01-30T00:00:00.000Z,85,1/30/18,0,85SO218013000,SO2,Hidalgo,1,0.000319356,0.001316193
5cccf5bee2705c19328205a7,20.50555556,-99.58027778,87,Primaria Melchor Ocampo,TPJ,56,5cccf5bee2705c19328205a7,20.50555556,-99.58027778,87,Primaria Melchor Ocampo,TPJ,56,5ccced4fe2705c19327e6ed4,Tepeji,2018-01-30T00:00:00.000Z,87,1/30/18,0,87SO218013000,SO2,Hidalgo,1,0.007601715,0.002790182
5cccf5bee2705c19328205a8,20.05377778,-99.34005556,90,Centro de Salud,CSA,58,5cccf5bee2705c19328205a8,20.05377778,-99.34005556,90,Centro de Salud,CSA,58,5ccced55e2705c19327f2709,Tula,2018-01-30T00:00:00.000Z,90,1/30/18,0,90SO218013000,SO2,Hidalgo,1,0.001025141,0.002486553
5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5ccced64e2705c193280d6a7,Pachuca,2018-01-30T00:00:00.000Z,93,1/30/18,0,93SO218013000,SO2,Hidalgo,1,0.002749799,0.002924003
5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5ccced6ce2705c1932819c42,Tizayuca,2018-01-30T00:00:00.000Z,96,1/30/18,0,96SO218013000,SO2,Hidalgo,1,0.002865978,0.003560658
5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5cccead0e2705c193235184c,Guadalajara,2018-01-30T00:00:00.000Z,102,1/30/18,0,102SO218013000,SO2,Jalisco,1,0.0011052,0.00193653
5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5ccceae7e2705c193237976c,Guadalajara,2018-01-30T00:00:00.000Z,106,1/30/18,0,106SO218013000,SO2,Jalisco,1,0.0012471,0.001992019
5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5ccceaede2705c19323841b8,Guadalajara,2018-01-30T00:00:00.000Z,107,1/30/18,0,107SO218013000,SO2,Jalisco,1,0.0020604,0.001819669
5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5ccceaf4e2705c19323916ea,Guadalajara,2018-01-30T00:00:00.000Z,108,1/30/18,0,108SO218013000,SO2,Jalisco,1,0.0016877,0.0015251
5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5ccceaf9e2705c193239ba71,Guadalajara,2018-01-30T00:00:00.000Z,109,1/30/18,0,109SO218013000,SO2,Jalisco,1,0.0013802,0.00159385
5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5ccceafee2705c19323a7553,Guadalajara,2018-01-30T00:00:00.000Z,110,1/30/18,0,110SO218013000,SO2,Jalisco,1,0.0021786,0.001826725
5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5ccceb04e2705c19323b333e,Toluca,2018-01-30T00:00:00.000Z,123,1/30/18,0,123SO218013000,SO2,Mexico,1,0.005,0.002561625
5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5ccceb0be2705c19323c1488,Toluca,2018-01-30T00:00:00.000Z,124,1/30/18,0,124SO218013000,SO2,Mexico,1,0.004,0.0031397
5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5ccceb12e2705c19323cff05,Toluca,2018-01-30T00:00:00.000Z,125,1/30/18,0,125SO218013000,SO2,Mexico,1,0.004,0.00379465
5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5ccceb18e2705c19323dcc4c,Toluca,2018-01-30T00:00:00.000Z,126,1/30/18,0,126SO218013000,SO2,Mexico,1,0.003,0.004
5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5ccceb26e2705c19323f6a58,Toluca,2018-01-30T00:00:00.000Z,128,1/30/18,0,128SO218013000,SO2,Mexico,1,0.004,0.00375
5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5ccceb33e2705c193240fd1b,Cuernavaca,2018-01-30T00:00:00.000Z,134,1/30/18,0,134SO218013000,SO2,Morelos,1,-0.000118547,0.002720363
5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5ccceb4de2705c193243ecd0,Monterrey,2018-01-30T00:00:00.000Z,140,1/30/18,0,140SO218013000,SO2,Nuevo Leon,1,0.0085,0.003845363
5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5ccceb53e2705c1932449f0e,Monterrey,2018-01-30T00:00:00.000Z,141,1/30/18,0,141SO218013000,SO2,Nuevo Leon,1,0.0015,0.003470363
5cccf5bee2705c19328205cc,25.74527778,-100.255,142,San Nicolas,NE,72,5cccf5bee2705c19328205cc,25.74527778,-100.255,142,San Nicolas,NE,72,5ccceb59e2705c19324539f6,Monterrey,2018-01-30T00:00:00.000Z,142,1/30/18,0,142SO218013000,SO2,Nuevo Leon,1,0.0116,0.005370363
5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5ccceb7be2705c19324913f9,Oaxaca,2018-01-30T00:00:00.000Z,160,1/30/18,0,160SO218013000,SO2,Oaxaca,1,0.0069,0.007125
5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5ccceb8ae2705c19324aa77c,Puebla,2018-01-30T00:00:00.000Z,163,1/30/18,0,163SO218013000,SO2,Puebla,1,5.51E-06,0.005001377
5cccf5bee2705c19328205dd,22.15125,-100.9961111,171,Industriales Potosinos Asociados,IPAC,79,5cccf5bee2705c19328205dd,22.15125,-100.9961111,171,Industriales Potosinos Asociados,IPAC,79,5ccceb90e2705c19324b6fcb,San Luis Potosi Estatal,2018-01-30T00:00:00.000Z,171,1/30/18,0,171SO218013000,SO2,San Luis Potosi,1,0.0018176,0.005080777
5cccf5bee2705c19328205df,22.17422222,-100.9930833,174,Biblioteca,BIB,79,5cccf5bee2705c19328205df,22.17422222,-100.9930833,174,Biblioteca,BIB,79,5ccceb9be2705c19324cb939,San Luis Potosi Estatal,2018-01-30T00:00:00.000Z,174,1/30/18,0,174SO218013000,SO2,San Luis Potosi,1,0.0013827,0.002526452
5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5ccceba5e2705c19324dd5ca,Tlaxcala,2018-01-30T00:00:00.000Z,220,1/30/18,0,220SO218013000,SO2,Tlaxcala,1,0.0002,0.000851452
5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccebafe2705c19324f3698,Xalapa,2018-01-30T00:00:00.000Z,235,1/30/18,0,235SO218013000,SO2,Veracruz,1,0.0025,0.001475075
