_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha,pronostico
5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5cccf5bee2705c19328205aa,20.07722222,-98.77797222,93,Museo del Rehilete,REH,59,5ccced64e2705c193280be29,2018-01-30T00:00:00.000Z,1,Pachuca,Hidalgo,8.415513889,PM2.5,93,93PM2.518013000,0,1/30/18,7.953170139
5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5ccceacfe2705c19323504e9,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,9.8258,PM2.5,102,102PM2.518013000,0,1/30/18,9.409620139
5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccead6e2705c193235bfa0,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,3.1091,PM2.5,103,103PM2.518013000,0,1/30/18,8.809749306
5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5ccceaf3e2705c193238f61e,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,4,PM2.5,108,108PM2.518013000,0,1/30/18,6.337603472
5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5ccceaf8e2705c193239aef0,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,2.8224,PM2.5,109,109PM2.518013000,0,1/30/18,4.939325
5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5ccceb03e2705c19323b237a,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,8,PM2.5,123,123PM2.518013000,0,1/30/18,4.482875
5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5ccceb0ae2705c19323bf25f,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,16,PM2.5,124,124PM2.518013000,0,1/30/18,7.7056
5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5ccceb11e2705c19323cdcc8,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,14,PM2.5,125,125PM2.518013000,0,1/30/18,10.2056
5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5ccceb17e2705c19323db5f7,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,9,PM2.5,126,126PM2.518013000,0,1/30/18,11.75
5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5ccceb25e2705c19323f5956,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,24,PM2.5,128,128PM2.518013000,0,1/30/18,15.75
5cccf5bee2705c19328205c1,19.69046111,-101.2047889,129,Universidad Michoacana de San Nicolas Hidalgo,ECU,66,5cccf5bee2705c19328205c1,19.69046111,-101.2047889,129,Universidad Michoacana de San Nicolas Hidalgo,ECU,66,5ccceb29e2705c19323fdcea,2018-01-30T00:00:00.000Z,1,Morelia,Michoacan,7,PM2.5,129,129PM2.518013000,0,1/30/18,13.5
5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5ccceb32e2705c193240df40,2018-01-30T00:00:00.000Z,1,Cuernavaca,Morelos,4.606372,PM2.5,134,134PM2.518013000,0,1/30/18,11.151593
5cccf5bee2705c19328205c7,21.47817778,-104.8677417,136,Tecnologico de Tepic,TEC,71,5cccf5bee2705c19328205c7,21.47817778,-104.8677417,136,Tecnologico de Tepic,TEC,71,5ccceb3ae2705c193241b2bb,2018-01-30T00:00:00.000Z,1,Tepic,Nayarit,1,PM2.5,136,136PM2.518013000,0,1/30/18,9.151593
5cccf5bee2705c19328205c8,21.50980556,-104.9101806,137,Primaria Julian Gascon Mercado,PRIM,71,5cccf5bee2705c19328205c8,21.50980556,-104.9101806,137,Primaria Julian Gascon Mercado,PRIM,71,5ccceb41e2705c193242790d,2018-01-30T00:00:00.000Z,1,Tepic,Nayarit,6,PM2.5,137,137PM2.518013000,0,1/30/18,4.651593
5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5ccceb53e2705c1932448f85,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,3,PM2.5,141,141PM2.518013000,0,1/30/18,3.651593
5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5ccceb7ae2705c193248f90c,2018-01-30T00:00:00.000Z,1,Oaxaca,Oaxaca,15,PM2.5,160,160PM2.518013000,0,1/30/18,6.25
5cccf5bee2705c19328205d5,19.04138889,-98.21422222,162,Las Ninfas,NIN,74,5cccf5bee2705c19328205d5,19.04138889,-98.21422222,162,Las Ninfas,NIN,74,5ccceb85e2705c19324a2be1,2018-01-30T00:00:00.000Z,1,Puebla,Puebla,6.615686955,PM2.5,162,162PM2.518013000,0,1/30/18,7.653921739
5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5ccceb89e2705c19324a8b97,2018-01-30T00:00:00.000Z,1,Puebla,Puebla,25.485886,PM2.5,163,163PM2.518013000,0,1/30/18,12.52539324
5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5ccceba4e2705c19324dcc78,2018-01-30T00:00:00.000Z,1,Tlaxcala,Tlaxcala,3,PM2.5,220,220PM2.518013000,0,1/30/18,12.52539324
5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccebaee2705c19324f1532,2018-01-30T00:00:00.000Z,1,Xalapa,Veracruz,7.3,PM2.5,235,235PM2.518013000,0,1/30/18,10.60039324
5cccf5bee2705c19328205ec,20.97327222,-89.62481111,236,SEDUMA01,CEN,116,5cccf5bee2705c19328205ec,20.97327222,-89.62481111,236,SEDUMA01,CEN,116,5cccebb3e2705c19324faf40,2018-01-30T00:00:00.000Z,1,Merida,Yucatan,-0.72414958,PM2.5,236,236PM2.518013000,0,1/30/18,8.765434105
5cccf5bee2705c19328205ee,19.15428611,-99.16277778,241,Ajusco,AJU,119,5cccf5bee2705c19328205ee,19.15428611,-99.16277778,241,Ajusco,AJU,119,5cccebbae2705c1932509903,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,4,PM2.5,241,241PM2.518013000,0,1/30/18,3.393962605
5cccf5bee2705c19328205ef,19.27222222,-99.20777778,242,Ajusco Medio,AJM,119,5cccf5bee2705c19328205ef,19.27222222,-99.20777778,242,Ajusco Medio,AJM,119,5cccebbee2705c193251288f,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,5,PM2.5,242,242PM2.518013000,0,1/30/18,3.893962605
5cccf5bee2705c19328205f2,19.32638889,-99.17611111,245,Centro de Ciencias de la Atmosfera,CCA,119,5cccf5bee2705c19328205f2,19.32638889,-99.17611111,245,Centro de Ciencias de la Atmosfera,CCA,119,5cccebcee2705c193252d5d6,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,8,PM2.5,245,245PM2.518013000,0,1/30/18,4.068962605
5cccf5bee2705c19328205f8,19.41166667,-99.15222222,251,Hospital General de Mexico,HGM,119,5cccf5bee2705c19328205f8,19.41166667,-99.15222222,251,Hospital General de Mexico,HGM,119,5cccebe7e2705c1932559670,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,2,PM2.5,251,251PM2.518013000,0,1/30/18,4.75
5cccf5bee2705c19328205fc,19.42472222,-99.11972222,256,Merced,MER,119,5cccf5bee2705c19328205fc,19.42472222,-99.11972222,256,Merced,MER,119,5cccebf8e2705c1932579468,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,14,PM2.5,256,256PM2.518013000,0,1/30/18,7.25
5cccf5bee2705c19328205fe,19.39388889,-99.02833333,258,Nezahualcoyotl,NEZ,119,5cccf5bee2705c19328205fe,19.39388889,-99.02833333,258,Nezahualcoyotl,NEZ,119,5cccec03e2705c193258c161,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,5,PM2.5,258,258PM2.518013000,0,1/30/18,7.25
5cccf5bee2705c1932820600,19.53305556,-99.03055556,260,San Agustin,SAG,119,5cccf5bee2705c1932820600,19.53305556,-99.03055556,260,San Agustin,SAG,119,5cccec0fe2705c19325a06ce,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,3,PM2.5,260,260PM2.518013000,0,1/30/18,6
5cccf5bee2705c1932820601,19.3575,-99.26305556,262,Santa Fe,SFE,119,5cccf5bee2705c1932820601,19.3575,-99.26305556,262,Santa Fe,SFE,119,5cccec15e2705c19325ab7cc,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,5,PM2.5,262,262PM2.518013000,0,1/30/18,6.75
5cccf5bee2705c1932820602,19.404,-99.20272222,263,Miguel Hidalgo,MGH,119,5cccf5bee2705c1932820602,19.404,-99.20272222,263,Miguel Hidalgo,MGH,119,5cccec1ce2705c19325b7c13,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,2,PM2.5,263,263PM2.518013000,0,1/30/18,3.75
5cccf5bee2705c1932820604,19.52916667,-99.20472222,266,Tlalnepantla,TLA,119,5cccf5bee2705c1932820604,19.52916667,-99.20472222,266,Tlalnepantla,TLA,119,5cccec26e2705c19325ca75f,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,6,PM2.5,266,266PM2.518013000,0,1/30/18,4
