_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,state,validoorig,valororig
5cccf5bee2705c19328205aa,20.077222222222,-98.777972222222,93,Museo del Rehilete,REH,59,5ccced61e2705c1932807cd3,Pachuca,2018-01-30T00:00:00.000Z,93,2018-01-30,0,93O318013000,O3,Hidalgo,1,0.0523442083333333
5cccf5bee2705c19328205ab,19.840583333333,-98.981333333333,96,Biblioteca,TIZ,60,5ccced69e2705c1932815aa7,Tizayuca,2018-01-30T00:00:00.000Z,96,2018-01-30,0,96O318013000,O3,Hidalgo,1,0.044226999999999995
5cccf5bee2705c19328205ad,20.673764722222,-103.33333611111,102,Centro ,CEN,63,5ccceacde2705c193234ca73,Guadalajara,2018-01-30T00:00:00.000Z,102,2018-01-30,0,102O318013000,O3,Jalisco,1,0.027532
5cccf5bee2705c19328205ae,20.631268055556,-103.41643083333,103,Las Águilas,AGU,63,5cccead4e2705c193235825c,Guadalajara,2018-01-30T00:00:00.000Z,103,2018-01-30,0,103O318013000,O3,Jalisco,1,0.022055
5cccf5bee2705c19328205af,20.576823888889,-103.32652861111,104,Las Pintas,PIN,63,5ccceadae2705c1932362b4e,Guadalajara,2018-01-30T00:00:00.000Z,104,2018-01-30,0,104O318013000,O3,Jalisco,1,0.015826
5cccf5bee2705c19328205b1,20.614444444444,-103.34333333333,106,Miravalle,MIR,63,5ccceae4e2705c193237448b,Guadalajara,2018-01-30T00:00:00.000Z,106,2018-01-30,0,106O318013000,O3,Jalisco,1,0.015754
5cccf5bee2705c19328205b2,20.700538611111,-103.29661666667,107,Oblatos,OBL,63,5ccceaebe2705c1932380c66,Guadalajara,2018-01-30T00:00:00.000Z,107,2018-01-30,0,107O318013000,O3,Jalisco,1,0.028854
5cccf5bee2705c19328205b3,20.529149444444,-103.37717944444,108,Santa Fe,SFE,63,5ccceaf1e2705c193238b74c,Guadalajara,2018-01-30T00:00:00.000Z,108,2018-01-30,0,108O318013000,O3,Jalisco,1,0.016315
5cccf5bee2705c19328205b4,20.640966666667,-103.31259194444,109,Tlaquepaque,TLA,63,5ccceaf6e2705c1932397740,Guadalajara,2018-01-30T00:00:00.000Z,109,2018-01-30,0,109O318013000,O3,Jalisco,1,0.027182
5cccf5bee2705c19328205b5,20.680193055556,-103.39855138889,110,Vallarta,VAL,63,5ccceafce2705c19323a320f,Guadalajara,2018-01-30T00:00:00.000Z,110,2018-01-30,0,110O318013000,O3,Jalisco,1,0.031018
5cccf5bee2705c19328205bb,19.260305555556,-99.645722222222,123,Ceboruco,CB,65,5ccceb02e2705c19323af6b5,Toluca,2018-01-30T00:00:00.000Z,123,2018-01-30,0,123O318013000,O3,México,1,0.032
5cccf5bee2705c19328205bc,19.278083333333,-99.656416666667,124,Toluca Centro,CE,65,5ccceb08e2705c19323baf1a,Toluca,2018-01-30T00:00:00.000Z,124,2018-01-30,0,124O318013000,O3,México,1,0.033
5cccf5bee2705c19328205bd,19.270194444444,-99.595194444444,125,Metepec,MT,65,5ccceb0fe2705c19323c989d,Toluca,2018-01-30T00:00:00.000Z,125,2018-01-30,0,125O318013000,O3,México,1,0.046
5cccf5bee2705c19328205be,19.283444444444,-99.683488888889,126,Oxtotitlán,OX,65,5ccceb16e2705c19323d8500,Toluca,2018-01-30T00:00:00.000Z,126,2018-01-30,0,126O318013000,O3,México,1,0.042
5cccf5bee2705c19328205c0,19.280416666667,-99.541666666667,128,San Mateo Atenco,SM,65,5ccceb24e2705c19323f267c,Toluca,2018-01-30T00:00:00.000Z,128,2018-01-30,0,128O318013000,O3,México,1,0.034
