_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha
5cccf5bee2705c19328205ab,19.84058333,-98.98133333,96,Biblioteca,TIZ,60,5ccced6ae2705c1932817c53,2018-01-30T00:00:00.000Z,1,Tizayuca,Hidalgo,33.22261111,PM10,96,96PM1018013000,0,1/30/18
5cccf5bee2705c19328205ad,20.67376472,-103.3333361,102,Centro ,CEN,63,5ccceacee2705c193234e799,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,8.4514,PM10,102,102PM1018013000,0,1/30/18
5cccf5bee2705c19328205ae,20.63126806,-103.4164308,103,Las Aguilas,AGU,63,5cccead5e2705c193235a171,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,11.482,PM10,103,103PM1018013000,0,1/30/18
5cccf5bee2705c19328205af,20.57682389,-103.3265286,104,Las Pintas,PIN,63,5ccceadbe2705c1932364b65,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,9.179,PM10,104,104PM1018013000,0,1/30/18
5cccf5bee2705c19328205b1,20.61444444,-103.3433333,106,Miravalle,MIR,63,5ccceae6e2705c1932376366,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,16.142,PM10,106,106PM1018013000,0,1/30/18
5cccf5bee2705c19328205b2,20.70053861,-103.2966167,107,Oblatos,OBL,63,5ccceaece2705c1932382a07,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,6.9148,PM10,107,107PM1018013000,0,1/30/18
5cccf5bee2705c19328205b3,20.52914944,-103.3771794,108,Santa Fe,SFE,63,5ccceaf2e2705c193238d597,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,19,PM10,108,108PM1018013000,0,1/30/18
5cccf5bee2705c19328205b4,20.64096667,-103.3125919,109,Tlaquepaque,TLA,63,5ccceaf7e2705c19323993d8,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.075979,PM10,109,109PM1018013000,0,1/30/18
5cccf5bee2705c19328205b5,20.68019306,-103.3985514,110,Vallarta,VAL,63,5ccceafde2705c19323a53b0,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,16.354,PM10,110,110PM1018013000,0,1/30/18
5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5ccceb02e2705c19323b13ac,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,18,PM10,123,123PM1018013000,0,1/30/18
5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5ccceb09e2705c19323bd0b1,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,15,PM10,124,124PM1018013000,0,1/30/18
5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5ccceb10e2705c19323cba8c,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,15,PM10,125,125PM1018013000,0,1/30/18
5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5ccceb17e2705c19323d9ef8,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,11,PM10,126,126PM1018013000,0,1/30/18
5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5ccceb25e2705c19323f47ef,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,30,PM10,128,128PM1018013000,0,1/30/18
5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5ccceb31e2705c193240c15a,2018-01-30T00:00:00.000Z,1,Cuernavaca,Morelos,24.9005,PM10,134,134PM1018013000,0,1/30/18
5cccf5bee2705c19328205c8,21.50980556,-104.9101806,137,Primaria Julian Gascon Mercado,PRIM,71,5ccceb40e2705c1932425c9a,2018-01-30T00:00:00.000Z,1,Tepic,Nayarit,28,PM10,137,137PM1018013000,0,1/30/18
5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5ccceb4be2705c193243c5de,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,54,PM10,140,140PM1018013000,0,1/30/18
5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5ccceb52e2705c193244710a,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,17,PM10,141,141PM1018013000,0,1/30/18
5cccf5bee2705c19328205cc,25.74527778,-100.255,142,San Nicolas,NE,72,5ccceb57e2705c1932451296,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,43,PM10,142,142PM1018013000,0,1/30/18
5cccf5bee2705c19328205ce,25.80055556,-100.3444444,144,Escobedo,N,72,5ccceb62e2705c1932463c38,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,30,PM10,144,144PM1018013000,0,1/30/18
5cccf5bee2705c19328205cf,25.78333333,-100.5858333,145,Garcia,NO2,72,5ccceb66e2705c193246bba3,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,36,PM10,145,145PM1018013000,0,1/30/18
5cccf5bee2705c19328205d0,25.77722222,-100.1883333,146,Apodaca,NE2,72,5ccceb69e2705c1932471dbe,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,63,PM10,146,146PM1018013000,0,1/30/18
5cccf5bee2705c19328205d3,16.69934028,-96.866455,160,CEDART,CED,73,5ccceb79e2705c193248de52,2018-01-30T00:00:00.000Z,1,Oaxaca,Oaxaca,17,PM10,160,160PM1018013000,0,1/30/18
